claim_id,page_path,claim_text,claim_type,risk_level,materiality,priority,source_requirement,proposed_source_type,source_reference,source_owner,verification_status,verification_method,last_verified,next_review_date,evidence_notes
"CLAIM-home-020","/","Every venture starts with real, operator-validated needs.","opinion","high","low","P1","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-021","/","Government stakeholders cite a level of direct interactivity with defense tech founders that traditional acquisition programs do not achieve. The format produces actionable signal for warfighter requirements.","opinion","low","low","P2","optional","opinion-review","REWRITTEN 2026-03-01: Converted from quoted testimonial (placeholder attribution) to non-quoted operational summary. No individual attribution required.","content","editorial-approved","copy-revision","2026-03-01","","Original quoted text from participant JC. Rewritten as non-quoted positioning to eliminate attribution dependency."
"CLAIM-home-022","/","Founders describe the concentrated format — entrepreneurs, operators, and contract opportunities in one room — as a forcing function that eliminates months of cold outreach.","opinion","low","low","P2","optional","opinion-review","REWRITTEN 2026-03-01: Converted from quoted testimonial (placeholder attribution) to non-quoted operational summary. No individual attribution required.","content","editorial-approved","copy-revision","2026-03-01","","Original quoted text from participant MK. Rewritten as non-quoted positioning to eliminate attribution dependency."
"CLAIM-home-023","/","Alumni report that Combine participation prepared them for competitive defense tech environments including Crucible and xTech Igniter programs.","opinion","low","low","P2","optional","opinion-review","REWRITTEN 2026-03-01: Converted from quoted testimonial (placeholder attribution) to non-quoted operational summary. No individual attribution required.","content","editorial-approved","copy-revision","2026-03-01","","Original quoted text from participant SR. Rewritten as non-quoted positioning to eliminate attribution dependency."
"CLAIM-home-024","/","Validate problems, join the Combine, or explore venture formation with Merge Studio.","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-025","/","Post problems, run pilots, or request support through Defense Builders.","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-026","/","Access dual-use teams, de-risk prototypes, or support venture spinouts.","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-027","/","Join Merge Combinator and become part of the next wave of national security innovation.","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-028","/","Merge Combinator is the builder-led venture studio for national security. If you're building for the Indo-Pacific mission, build with us.","factual","medium","low","P1","required","owner-attestation","Organizational self-description. MC operates as a venture studio model — co-founding ventures from validated problem sets. Indo-Pacific focus documented across site and program materials.","content-ops","attested","owner-attestation","2026-03-01","2026-06-01","Self-description of organizational model and geographic focus. Attestable by founders."
"CLAIM-home-029","/","The Combine: Validating Critical Problems and Solutions","opinion","low","medium","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-030","/","Where founders, operators, and mission owners solve real problems and form teams. The best week in defense tech for early-stage founders.","opinion","high","low","P1","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-031","/","Validate operational problems with domain experts","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-032","/","We co-found ventures in demand by mission owners. Backed by operators, SME, and builders committed to the mission.","opinion","medium","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-033","/","Develop and deploy direct to the mission","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-access-001","/access","Your gateway to the defense tech community. This is not an application to an incubator—it's access to a members-only portal where you can connect, learn, and find opportunities.","opinion","high","low","P1","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-access-002","/access","New here? Tell us who you are and what you're interested in.","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-access-003","/access","We'll review your request and get back to you shortly.","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-access-004","/access","Please try again or email access@mergecombinator.com .","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-access-005","/access","Questions? Learn more about Merge Combinator","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-programs-the-combine-001","/programs/the-combine","Ready to validate with real operators?","opinion","medium","high","P1","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-programs-the-combine-002","/programs/the-combine","If you have funded technology solving Indo-Pacific problems, The Combine puts you directly in front of the operators who own the problem.","factual","low","low","P1","required","owner-attestation","SOFTENED from 'fastest path to operator validation and deployment.' Rewritten 2026-03-01 to describe process rather than make superlative speed claim.","content-ops","attested","copy-revision","2026-03-01","2026-06-01","De-risked. Claims direct operator access (attestable from program format) not superlative speed."
"CLAIM-programs-the-combine-003","/programs/the-combine","One week · In person · Selection-based","factual","low","low","P1","required","owner-attestation","Program format attestation: Cohort 01 (Tulsa) and Finalists Round (Honolulu) both ran as selection-based, in-person programs.","content-ops","attested","program-format-attestation","2026-03-01","2026-06-01","Core program format. Attested from operating history."
"CLAIM-programs-the-combine-004","/programs/the-combine","Designed to validate funded and emerging technology with operators and mission owners close to the requirement.","factual","medium","low","P1","required","owner-attestation","Program mission statement. The Combine's stated purpose is operator validation of funded defense tech.","content-ops","attested","owner-attestation","2026-03-01","2026-06-01","Organizational mission statement. Attestable by program operators."
"CLAIM-programs-the-combine-005","/programs/the-combine","We match funded defense tech to champion problem owners. One week, in person, with structured operator feedback and clear next steps.","factual","low","low","P1","required","owner-attestation","Program format attestation: Matching process, one-week format, structured feedback sessions, and defined next-step decisions are core program design elements.","content-ops","attested","program-format-attestation","2026-03-01","2026-06-01","Describes program mechanics. Attested from Combine operating format."
"CLAIM-programs-the-combine-006","/programs/the-combine","One Week. Operator Feedback. Clear Next Steps.","factual","low","high","P0","required","public-evidence+owner-attestation","Program format attestation: The Combine is delivered as a one-week, in-person format with structured operator feedback and defined next-step decisions.","content-ops","attested-pending-doc-link","program-format-attestation","","","Headline phrasing retained; attestation recorded 2026-02-21. Link operating schedule artifact when available."
"CLAIM-programs-the-combine-007","/programs/the-combine","The Combine concentrates discovery into focused validation sessions with the people who own the problem.","factual","low","low","P1","required","owner-attestation","SOFTENED from 'compresses months of discovery into five days.' Rewritten 2026-03-01 to remove unsupported timeline quantification.","content-ops","attested","copy-revision","2026-03-01","2026-06-01","De-risked. No specific timeline comparison. Describes concentration of discovery (attestable process attribute)."
"CLAIM-programs-the-combine-008","/programs/the-combine","The Combine is for teams with real technology and real traction. Leave your slide deck at home.","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-programs-the-combine-009","/programs/the-combine","Funded or revenue-backed teams with a working product","factual","low","low","P1","required","owner-attestation","Eligibility criterion. The Combine selects for funded/revenue-backed teams with working products as a program admission requirement.","content-ops","attested","program-criteria","2026-03-01","2026-06-01","Published eligibility requirement. Attestable by program operators."
"CLAIM-programs-the-combine-010","/programs/the-combine","Emerging tech aligned to Indo-Pacific problem sets","factual","medium","low","P1","required","owner-attestation","Eligibility criterion. Indo-Pacific alignment is a core selection criterion for The Combine program.","content-ops","attested","program-criteria","2026-03-01","2026-06-01","Published eligibility requirement. Reflects program's geographic focus."
"CLAIM-programs-the-combine-011","/programs/the-combine","Founders and builders ready to commit to one week, in person.","factual","low","low","P1","required","owner-attestation","Eligibility criterion. In-person commitment for one week is a program participation requirement.","content-ops","attested","program-criteria","2026-03-01","2026-06-01","Published eligibility requirement. Describes logistics expectation."
"CLAIM-programs-the-combine-012","/programs/the-combine","Teams ready for direct, unfiltered operator feedback","aspirational","low","low","P2","optional","positioning-review","","content","needs-editorial-review","","","",""
"CLAIM-programs-the-combine-013","/programs/the-combine","Not funded or ready yet? Join Defense Builders to meet fellow builders and validate problems with end users.","factual","low","low","P1","required","owner-attestation","Defense Builders is the open-access program (no selection required). Provides community access for pre-funded teams. access.html is the entry point.","content-ops","attested","live-page","2026-03-01","2026-06-01","Defense Builders portal exists at /access. Open access verified."
"CLAIM-programs-the-combine-014","/programs/the-combine","Every team leaves with clear signal — validation, introductions, and a defined next step.","opinion","low","low","P2","optional","opinion-review","","content","needs-editorial-review","","","",""
"CLAIM-home-034","/","150+ Operators & SMEs engaged","factual","medium","medium","P1","required","owner-attestation","","content-ops","needs-source","","","","Added 2026-03-01. Bento grid metric. Requires attestation from program records."
"CLAIM-programs-the-combine-015","/programs/the-combine","Combine 01 · 83 companies","factual","medium","medium","P1","required","owner-attestation","","content-ops","needs-source","","","","Added 2026-03-01. Past cohort metric. Requires attestation from Cohort 01 records."
"CLAIM-programs-the-combine-016","/programs/the-combine","21 matched companies · Honolulu + distributed locations","factual","medium","medium","P1","required","owner-attestation","","content-ops","needs-source","","","","Added 2026-03-01. Past cohort metric. Requires attestation from Finalists Round records."
