id,page_path,source_file,selector_hint,line,claim_text,claim_type,materiality,risk_level,source_status,source_reference,status,owner,last_reviewed,review_interval_days,evidence_notes
"CLAIM-home-022","/","index.html","p:nth(23)","663","This is what happens when you get entrepreneurs in one room, hungry for contracts and sick of bureaucracy.","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-home-023","/","index.html","p:nth(24)","677","SigmaBlox prepared us to pitch in crucible and xTech igniter environments. I hope to be competing against each of you.","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-home-024","/","index.html","p.engage-card__body:nth(25)","704","Validate problems, join the Combine, or explore venture formation with Merge Studio.","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-home-025","/","index.html","p.engage-card__body:nth(26)","723","Post problems, run pilots, or request support through Defense Builders.","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-home-026","/","index.html","p.engage-card__body:nth(27)","741","Access dual-use teams, de-risk prototypes, or support venture spinouts.","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-home-027","/","index.html","p.final-cta__subtitle:nth(28)","774","Join Merge Combinator and become part of the next wave of national security innovation.","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-home-028","/","index.html","p.hero__subtitle.reveal:nth(1)","88","Merge Combinator is the builder-led venture studio for national security. If you're building for the Indo-Pacific mission, build with us.","unclassified","low","medium","unsourced","","open","content-ops","","30",""
"CLAIM-home-029","/","index.html","h3.platform__panel-title:nth(1)","161","The Combine: Validating Critical Problems and Solutions","unclassified","medium","low","unsourced","","open","content-ops","","30",""
"CLAIM-home-030","/","index.html","p.platform__panel-body:nth(2)","162","Where founders, operators, and mission owners solve real problems and form teams. The best week in defense tech for early-stage founders.","unclassified","low","high","unsourced","","open","content-ops","","30",""
"CLAIM-home-031","/","index.html","li:nth(1)","167","Validate operational problems with domain experts","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-home-032","/","index.html","p.platform__panel-body:nth(3)","213","We co-found ventures in demand by mission owners. Backed by operators, SME, and builders committed to the mission.","unclassified","low","medium","unsourced","","open","content-ops","","30",""
"CLAIM-home-033","/","index.html","li:nth(6)","225","Develop and deploy direct to the mission","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-access-001","/access","access.html","p.access-hero__subtitle:nth(1)","55","Your gateway to the defense tech community. This is not an application to an incubator—it's access to a members-only portal where you can connect, learn, and find opportunities.","unclassified","low","high","unsourced","","open","content-ops","","30",""
"CLAIM-access-002","/access","access.html","p.access-request__subtitle:nth(2)","146","New here? Tell us who you are and what you're interested in.","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-access-003","/access","access.html","p.access-request__success-text:nth(3)","182","We'll review your request and get back to you shortly.","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-access-004","/access","access.html","p.access-request__error-text:nth(4)","189","Please try again or email access@mergecombinator.com .","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-access-005","/access","access.html","p.access-form-section__footer-text:nth(5)","195","Questions? Learn more about Merge Combinator","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-programs-the-combine-001","/programs/the-combine","programs/the-combine.html","h2.content-section__title:nth(5)","270","Ready to validate with real operators?","unclassified","high","medium","unsourced","","open","content-ops","","30",""
"CLAIM-programs-the-combine-002","/programs/the-combine","programs/the-combine.html","p.content-section__subtitle:nth(9)","271","If you have funded technology solving Indo-Pacific problems, The Combine is the fastest path to operator validation and deployment.","unclassified","low","medium","unsourced","","open","content-ops","","30",""
"CLAIM-programs-the-combine-003","/programs/the-combine","programs/the-combine.html","p.sp-cta-panel__meta:nth(10)","280","One week · In person · Selection-based","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-programs-the-combine-004","/programs/the-combine","programs/the-combine.html","p.subpage-hero__subtitle:nth(1)","51","Designed to validate funded and emerging technology with operators and mission owners close to the requirement.","unclassified","low","medium","unsourced","","open","content-ops","","30",""
"CLAIM-programs-the-combine-005","/programs/the-combine","programs/the-combine.html","p.subpage-hero__body:nth(2)","54","We match funded defense tech to champion problem owners. One week, in person, with structured operator feedback and clear next steps.","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-programs-the-combine-006","/programs/the-combine","programs/the-combine.html","h2.content-section__title:nth(1)","112","One Week. Operator Feedback. Clear Next Steps.","unclassified","high","low","unsourced","","open","content-ops","","30",""
"CLAIM-programs-the-combine-007","/programs/the-combine","programs/the-combine.html","p.content-section__subtitle:nth(5)","113","The Combine compresses months of discovery into five days of focused validation with the people who own the problem.","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-programs-the-combine-008","/programs/the-combine","programs/the-combine.html","p.content-section__subtitle:nth(6)","148","The Combine is for teams with real technology and real traction. Leave your slide deck at home.","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-programs-the-combine-009","/programs/the-combine","programs/the-combine.html","li.sp-checklist__item:nth(1)","154","Funded or revenue-backed teams with a working product","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-programs-the-combine-010","/programs/the-combine","programs/the-combine.html","li.sp-checklist__item:nth(2)","160","Emerging tech aligned to Indo-Pacific problem sets","unclassified","low","medium","unsourced","","open","content-ops","","30",""
"CLAIM-programs-the-combine-011","/programs/the-combine","programs/the-combine.html","li.sp-checklist__item:nth(3)","166","Founders and builders ready to commit to one week, in person.","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-programs-the-combine-012","/programs/the-combine","programs/the-combine.html","li.sp-checklist__item:nth(4)","172","Teams ready for direct, unfiltered operator feedback","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-programs-the-combine-013","/programs/the-combine","programs/the-combine.html","p.sp-checklist__note:nth(7)","179","Not funded or ready yet? Join Defense Builders to meet fellow builders and validate problems with end users.","unclassified","low","low","unsourced","","open","content-ops","","30",""
"CLAIM-programs-the-combine-014","/programs/the-combine","programs/the-combine.html","p.content-section__subtitle:nth(8)","214","Every team leaves with clear signal — validation, introductions, and a defined next step.","unclassified","low","low","unsourced","","open","content-ops","","30",""
