id,page_path,source_file,selector_hint,line,claim_text,claim_type,materiality,risk_level,source_status,source_reference,status,owner,last_reviewed,review_interval_days,evidence_notes
"CLAIM-home-020","/","index.html","p.capability-card__desc:nth(20)","580","Every venture starts with real, operator-validated needs.","opinion","low","high","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-021","/","index.html","p:nth(22)","632","SigmaBlox was the most valuable week we've spent in defense tech in over 30 years in this industry. The connections and validation we received accelerated our roadmap by months.","factual","low","high","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.55; rationale=contains concrete/timebound detail; contains normative/value language"
"CLAIM-home-022","/","index.html","p:nth(23)","646","Merge Combinator helped us validate the problem and build with the right operators. We went from concept to field testing in under two months.","aspirational","low","high","unsourced","","open","content-ops","","30","auto_classification=aspirational; confidence=0.7; rationale=contains intent/capability language"
"CLAIM-home-023","/","index.html","p:nth(24)","660","This is the first ecosystem where engineers and mission owners actually solve problems together. The collaboration model actually works.","opinion","low","high","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-024","/","index.html","p.engage-card__body:nth(25)","687","Validate problems, join the Combine, or explore venture formation with Merge Studio.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-025","/","index.html","p.engage-card__body:nth(26)","706","Post problems, run pilots, or request support through Defense Builders.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-026","/","index.html","p.hero__subtitle.reveal:nth(1)","72","Merge Combinator is the builder-led venture studio for national security. If you're building for the Indo-Pacific mission, build with us.","factual","low","medium","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.7; rationale=contains concrete/timebound detail; contains intent/capability language"
"CLAIM-home-027","/","index.html","p.engage-card__body:nth(27)","724","Access dual-use teams, de-risk prototypes, or support venture spinouts.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-028","/","index.html","p.final-cta__subtitle:nth(28)","757","Join Merge Combinator and become part of the next wave of national security innovation.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-029","/","index.html","p.platform__panel-body:nth(2)","145","Where founders, operators, and mission owners validate real problems and form teams. The best week in defense tech for early-stage founders.","opinion","low","high","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-030","/","index.html","li:nth(1)","150","Validate operational problems with real operators","opinion","low","medium","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-home-031","/","index.html","p.platform__panel-body:nth(3)","196","We co-found ventures born from validated problem sets. Backed by operators, advisors, and technical builders committed to the mission.","opinion","low","high","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=heuristic fallback"
"CLAIM-home-032","/","index.html","p.platform__panel-body:nth(4)","238","The digital platform connecting founders, SMEs, and operators. Run pilots, solve technical problems, and deploy fast.","opinion","low","medium","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-access-001","/access","access.html","p.access-card__desc:nth(2)","56","Directory access, briefs, and execution workflows. Open to founders, operators, and mission owners.","opinion","low","medium","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-access-002","/access","access.html","p.access-card__desc:nth(3)","68","Operationalize your team's insights. Extract takeaways and decisions from your own data. Your data. Your device.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-access-003","/access","access.html","p.access-card__desc:nth(4)","80","Submit a channel for briefing (de-attributed). Summaries are non-attribution and aggregations of multiple channels.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-access-004","/access","access.html","p.access-callout__desc:nth(5)","94","One week, in person, with operators. For funded teams ready for validation.","factual","low","medium","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.7; rationale=contains concrete/timebound detail; contains intent/capability language"
"CLAIM-access-005","/access","access.html","p#drawer-subtitle.request-drawer__subtitle:nth(6)","116","Tell us a bit about you and what access you are requesting.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-access-006","/access","access.html","p.request-drawer__success-text:nth(7)","168","We'll review your request and get back to you shortly.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=heuristic fallback"
"CLAIM-access-007","/access","access.html","p.request-drawer__error-text:nth(8)","174","Please try again or email access@mergecombinator.com.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-programs-the-combine-001","/programs/the-combine","programs/the-combine.html","h2.content-section__title:nth(5)","267","Ready to validate with real operators?","opinion","high","medium","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-programs-the-combine-002","/programs/the-combine","programs/the-combine.html","p.content-section__subtitle:nth(9)","268","If you have funded technology solving Indo-Pacific problems, The Combine is the fastest path to operator validation and deployment.","factual","low","medium","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.95; rationale=contains concrete/timebound detail"
"CLAIM-programs-the-combine-003","/programs/the-combine","programs/the-combine.html","p.sp-cta-panel__meta:nth(10)","277","One week · In person · Selection-based","factual","low","low","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.95; rationale=contains concrete/timebound detail"
"CLAIM-programs-the-combine-004","/programs/the-combine","programs/the-combine.html","p.subpage-hero__subtitle:nth(1)","43","Designed to validate funded and emerging technology with operators and mission owners close to the requirement.","factual","low","medium","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.95; rationale=contains concrete/timebound detail"
"CLAIM-programs-the-combine-005","/programs/the-combine","programs/the-combine.html","p.subpage-hero__body:nth(2)","46","We match funded defense tech to champion problem owners. One week, in person. Data-backed results validated by operators.","factual","low","high","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.85; rationale=contains concrete/timebound detail"
"CLAIM-programs-the-combine-006","/programs/the-combine","programs/the-combine.html","h2.content-section__title:nth(1)","104","One Week. Real Operators. Real Decisions.","factual","high","medium","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.95; rationale=contains concrete/timebound detail"
"CLAIM-programs-the-combine-007","/programs/the-combine","programs/the-combine.html","p.content-section__subtitle:nth(5)","105","The Combine compresses months of discovery into five days of focused validation with the people who own the problem.","factual","low","low","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.7; rationale=heuristic fallback"
"CLAIM-programs-the-combine-008","/programs/the-combine","programs/the-combine.html","p.content-section__subtitle:nth(6)","140","The Combine is for teams with real technology and real traction. Leave your slide deck at home.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
"CLAIM-programs-the-combine-009","/programs/the-combine","programs/the-combine.html","li.sp-checklist__item:nth(1)","146","Funded or revenue-backed teams with a working product","factual","low","low","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.95; rationale=contains concrete/timebound detail"
"CLAIM-programs-the-combine-010","/programs/the-combine","programs/the-combine.html","li.sp-checklist__item:nth(2)","152","Emerging tech solving validated Indo-Pacific problems","factual","low","high","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.95; rationale=contains concrete/timebound detail"
"CLAIM-programs-the-combine-011","/programs/the-combine","programs/the-combine.html","li.sp-checklist__item:nth(3)","158","Founders and builders ready to commit to one week, in person.","factual","low","low","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.95; rationale=contains concrete/timebound detail"
"CLAIM-programs-the-combine-012","/programs/the-combine","programs/the-combine.html","li.sp-checklist__item:nth(4)","164","Teams ready for direct, unfiltered operator feedback","aspirational","low","low","unsourced","","open","content-ops","","30","auto_classification=aspirational; confidence=0.85; rationale=contains intent/capability language"
"CLAIM-programs-the-combine-013","/programs/the-combine","programs/the-combine.html","p.sp-checklist__note:nth(7)","171","Not funded or ready yet? Join Defense Builders to meet fellow builders and validate problems with end users.","factual","low","low","unsourced","","open","content-ops","","30","auto_classification=factual; confidence=0.95; rationale=contains concrete/timebound detail"
"CLAIM-programs-the-combine-014","/programs/the-combine","programs/the-combine.html","p.content-section__subtitle:nth(8)","211","Every team leaves with clear signal — validation, introductions, and a defined next step.","opinion","low","low","unsourced","","open","content-ops","","30","auto_classification=opinion; confidence=0.7; rationale=defaulted: no strong objective markers"
